aegis_path,subsystem,aegis_lines,hermes_counterpart,hermes_lines,match_reason,parity_action
.github/ISSUE_TEMPLATE/bug_report.md,ci,24,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
.github/ISSUE_TEMPLATE/feature_request.md,ci,17,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
.github/PULL_REQUEST_TEMPLATE.md,ci,20,.github/PULL_REQUEST_TEMPLATE.md,76,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
.github/workflows/ci.yml,ci,45,.github/workflows/ci.yml,147,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
.github/workflows/release.yml,ci,282,CI release workflow + desktop artifact publishing,,Phase 13 release provenance workflow,"Run full release gate, generate/verify artifact hashes and SBOM, and upload provenance."
CONTRIBUTING.md,repo-root,47,CONTRIBUTING.md,985,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
README.md,repo-root,252,project README/product claims,,Phase 13 release proof docs update,Keep product claims aligned with verified release provenance and credential-bound limits.
RELEASING.md,repo-root,101,release checklist/provenance docs,,Phase 13 release checklist update,"Document verification gate, artifact hashes, SBOM, packaged smoke, and unsigned override risk."
ROADMAP.md,repo-root,92,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
SECURITY.md,repo-root,37,SECURITY.md,333,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
aegis/__init__.py,runtime-other,14,agent/__init__.py,9,same basename,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/_locks.py,runtime-other,69,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
aegis/_log.py,runtime-other,134,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
aegis/ab.py,runtime-other,145,batch/benchmark/eval comparison workflows,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/acp.py,runtime-other,661,acp_adapter/* + hermes_cli/acp,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/activity.py,runtime-other,411,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
aegis/agent/__init__.py,agent-core,7,agent/__init__.py,9,same module path after aegis/ strip,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/agent.py,agent-core,933,run_agent.py + agent/agent_init.py + agent/system_prompt.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/coding_context.py,agent-core,361,agent/coding_context.py,790,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/compaction.py,agent-core,373,agent/context_compressor.py + agent/conversation_compression.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/context.py,agent-core,280,agent/system_prompt.py + agent/prompt_builder.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/context_engine.py,agent-core,130,agent/context_engine.py,227,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/events.py,agent-core,57,gateway/stream_events.py + agent/trajectory.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/governance.py,agent-core,135,agent/message_sanitization.py + agent/tool_guardrails.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/guardrails.py,agent-core,131,agent/tool_guardrails.py,476,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/loop.py,agent-core,2045,agent/conversation_loop.py + agent/tool_executor.py + agent/tool_dispatch_helpers.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/oneshot.py,agent-core,103,agent/oneshot.py + hermes_cli/main.py --oneshot,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/review.py,agent-core,328,agent/background_review.py + agent/curator.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/subdir_hints.py,agent-core,112,agent/subdirectory_hints.py,271,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/wakeups.py,agent-core,100,gateway/session_context.py + cron/scheduler.py patterns,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/ambient.py,runtime-other,148,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
aegis/automation.py,runtime-other,91,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
aegis/auxiliary.py,runtime-other,105,,,no close Hermes path by simple scan,Decide if this remains AEGIS-specific or add Hermes-parity equivalent/tests.
aegis/background.py,runtime-other,548,tools/delegate_tool.py async children + process registry + /background,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/backup.py,runtime-other,199,hermes_cli/backup.py,1343,same basename,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/bench.py,runtime-other,244,batch_runner.py + benchmark scripts,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/browser_connect.py,runtime-other,271,hermes_cli/browser_connect.py,218,same basename,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/builtin_skills/accessibility-audit/SKILL.md,skills-bundled,46,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in Hermes skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/api-design/SKILL.md,skills-bundled,54,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in Hermes skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/changelog-release/SKILL.md,skills-bundled,47,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in Hermes skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/code-review/SKILL.md,skills-bundled,30,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in Hermes skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/codebase-onboarding/SKILL.md,skills-bundled,48,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in Hermes skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/coding-agent/SKILL.md,skills-bundled,34,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in Hermes skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/commit/SKILL.md,skills-bundled,29,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in Hermes skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/DESCRIPTION.md,skills-bundled,4,skills/creative/DESCRIPTION.md,4,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/architecture-diagram/SKILL.md,skills-bundled,149,skills/creative/architecture-diagram/SKILL.md,149,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/architecture-diagram/templates/template.html,skills-bundled,320,skills/creative/architecture-diagram/templates/template.html,320,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-art/SKILL.md,skills-bundled,323,skills/creative/ascii-art/SKILL.md,323,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/README.md,skills-bundled,291,skills/creative/ascii-video/README.md,291,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/SKILL.md,skills-bundled,242,skills/creative/ascii-video/SKILL.md,242,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/architecture.md,skills-bundled,803,skills/creative/ascii-video/references/architecture.md,803,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/composition.md,skills-bundled,893,skills/creative/ascii-video/references/composition.md,893,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/effects.md,skills-bundled,1866,skills/creative/ascii-video/references/effects.md,1866,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/inputs.md,skills-bundled,686,skills/creative/ascii-video/references/inputs.md,686,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/optimization.md,skills-bundled,689,skills/creative/ascii-video/references/optimization.md,689,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/scenes.md,skills-bundled,1012,skills/creative/ascii-video/references/scenes.md,1012,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/shaders.md,skills-bundled,1386,skills/creative/ascii-video/references/shaders.md,1386,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/troubleshooting.md,skills-bundled,368,skills/creative/ascii-video/references/troubleshooting.md,368,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/PORT_NOTES.md,skills-bundled,44,skills/creative/baoyu-infographic/PORT_NOTES.md,44,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/SKILL.md,skills-bundled,238,skills/creative/baoyu-infographic/SKILL.md,238,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/analysis-framework.md,skills-bundled,183,skills/creative/baoyu-infographic/references/analysis-framework.md,183,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/base-prompt.md,skills-bundled,44,skills/creative/baoyu-infographic/references/base-prompt.md,44,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/bento-grid.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/bento-grid.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/binary-comparison.md,skills-bundled,49,skills/creative/baoyu-infographic/references/layouts/binary-comparison.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/bridge.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/bridge.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/circular-flow.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/circular-flow.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/comic-strip.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/comic-strip.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/comparison-matrix.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/comparison-matrix.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/dashboard.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/dashboard.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/dense-modules.md,skills-bundled,73,skills/creative/baoyu-infographic/references/layouts/dense-modules.md,73,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/funnel.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/funnel.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/hierarchical-layers.md,skills-bundled,49,skills/creative/baoyu-infographic/references/layouts/hierarchical-layers.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/hub-spoke.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/hub-spoke.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/iceberg.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/iceberg.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/isometric-map.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/isometric-map.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/jigsaw.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/jigsaw.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/linear-progression.md,skills-bundled,49,skills/creative/baoyu-infographic/references/layouts/linear-progression.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/periodic-table.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/periodic-table.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/story-mountain.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/story-mountain.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/structural-breakdown.md,skills-bundled,49,skills/creative/baoyu-infographic/references/layouts/structural-breakdown.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/tree-branching.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/tree-branching.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/venn-diagram.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/venn-diagram.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/winding-roadmap.md,skills-bundled,42,skills/creative/baoyu-infographic/references/layouts/winding-roadmap.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/structured-content-template.md,skills-bundled,245,skills/creative/baoyu-infographic/references/structured-content-template.md,245,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
