aegis_path,subsystem,phase,status,evidence,notes
.github/ISSUE_TEMPLATE/bug_report.md,ci,phase-13-release,complete,Release/CI parity verified by .github/workflows/release.yml plus release provenance smoke in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
.github/ISSUE_TEMPLATE/feature_request.md,ci,phase-13-release,complete,Release/CI parity verified by .github/workflows/release.yml plus release provenance smoke in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
.github/PULL_REQUEST_TEMPLATE.md,ci,phase-13-release,complete,Release/CI parity verified by .github/workflows/release.yml plus release provenance smoke in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
.github/workflows/ci.yml,ci,phase-13-release,complete,Release/CI parity verified by .github/workflows/release.yml plus release provenance smoke in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
.github/workflows/release.yml,ci,phase-13-release,complete,Release/CI parity verified by .github/workflows/release.yml plus release provenance smoke in scripts/verify_all.sh.,Release workflow now runs the full gate and verifies provenance before publishing/uploading artifacts.
CONTRIBUTING.md,repo-root,phase-13-release,complete,"Repo-root release/install/config assets verified by scripts/verify_all.sh, release provenance smoke, docs check, and git diff --check.",Final parity coverage row closed after phase implementation and verification gate.
README.md,repo-root,phase-13-release,complete,"Repo-root release/install/config assets verified by scripts/verify_all.sh, release provenance smoke, docs check, and git diff --check.",Product claims now distinguish implemented provenance from credential-bound signed release evidence.
RELEASING.md,repo-root,phase-13-release,complete,"Repo-root release/install/config assets verified by scripts/verify_all.sh, release provenance smoke, docs check, and git diff --check.","Release checklist documents full gate, hashes, SBOM, packaged smoke, and unsigned override risk."
ROADMAP.md,repo-root,phase-13-release,complete,"Repo-root release/install/config assets verified by scripts/verify_all.sh, release provenance smoke, docs check, and git diff --check.",Final parity coverage row closed after phase implementation and verification gate.
SECURITY.md,repo-root,phase-13-release,complete,"Repo-root release/install/config assets verified by scripts/verify_all.sh, release provenance smoke, docs check, and git diff --check.",Final parity coverage row closed after phase implementation and verification gate.
aegis/__init__.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
