aegis_path,subsystem,aegis_lines,reference_counterpart,reference_lines,match_reason,parity_action
.github/ISSUE_TEMPLATE/bug_report.md,ci,23,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
.github/ISSUE_TEMPLATE/feature_request.md,ci,16,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
.github/PULL_REQUEST_TEMPLATE.md,ci,19,.github/PULL_REQUEST_TEMPLATE.md,76,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
.github/workflows/ci.yml,ci,44,.github/workflows/ci.yml,147,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
.github/workflows/release.yml,ci,282,CI release workflow + desktop artifact publishing,,Phase 13 release provenance workflow,"Run full release gate, generate/verify artifact hashes and SBOM, and upload provenance."
CONTRIBUTING.md,repo-root,46,CONTRIBUTING.md,985,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
README.md,repo-root,248,project README/product claims,,Phase 13 release proof docs update,Keep product claims aligned with verified release provenance and credential-bound limits.
RELEASING.md,repo-root,101,release checklist/provenance docs,,Phase 13 release checklist update,"Document verification gate, artifact hashes, SBOM, packaged smoke, and unsigned override risk."
ROADMAP.md,repo-root,91,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
SECURITY.md,repo-root,36,SECURITY.md,333,same basename,Keep if AEGIS-specific; add proof/visibility if user-facing.
aegis/__init__.py,runtime-other,13,agent/__init__.py,9,same basename,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/_locks.py,runtime-other,68,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
aegis/_log.py,runtime-other,133,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
aegis/ab.py,runtime-other,144,batch/benchmark/eval comparison workflows,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/acp.py,runtime-other,660,acp_adapter/* + aegis_cli/acp,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/activity.py,runtime-other,410,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
aegis/agent/__init__.py,agent-core,6,agent/__init__.py,9,same module path after aegis/ strip,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/agent.py,agent-core,965,run_agent.py + agent/agent_init.py + agent/system_prompt.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/coding_context.py,agent-core,360,agent/coding_context.py,790,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/compaction.py,agent-core,372,agent/context_compressor.py + agent/conversation_compression.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/context.py,agent-core,317,agent/system_prompt.py + agent/prompt_builder.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/context_engine.py,agent-core,129,agent/context_engine.py,227,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/events.py,agent-core,56,gateway/stream_events.py + agent/trajectory.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/governance.py,agent-core,134,agent/message_sanitization.py + agent/tool_guardrails.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/guardrails.py,agent-core,130,agent/tool_guardrails.py,476,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/loop.py,agent-core,2044,agent/conversation_loop.py + agent/tool_executor.py + agent/tool_dispatch_helpers.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/oneshot.py,agent-core,102,agent/oneshot.py + aegis_cli/main.py --oneshot,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/review.py,agent-core,327,agent/background_review.py + agent/curator.py,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/subdir_hints.py,agent-core,111,agent/subdirectory_hints.py,271,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/agent/wakeups.py,agent-core,99,gateway/session_context.py + cron/scheduler.py patterns,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
